basis,n_bases,random_r2,random_skill,random_rms,random_overfit,temporal_r2,temporal_skill,temporal_rms,temporal_overfit
constant,1,0.028798215738562005,0.014504295158300429,628.9024192777592,1.01565376414169,-0.2653276618564149,-0.12486784195140666,768.4516428829188,1.2859548614137608
"constant,synodic",2,0.08276570505546921,0.042276503919565056,611.1793493619427,1.0470164404991158,-1.8743540743699731,-0.6953920120048853,1158.2043048680312,2.0215586482411125
"constant,sidereal",2,0.07234695044612438,0.036852529695542646,614.6407043884833,1.0419629863198825,-1.831635288795058,-0.6827463530773312,1149.5654434695596,2.008287898097889
"constant,synodic,sidereal",3,0.09126221872686391,0.04672261053084026,608.3420288231922,1.0506425473486267,-2.961915432425833,-0.9904560865354033,1359.7768491016316,2.3806109818195584
"constant,synodic,synodic2",3,0.10532443852695605,0.05412709021082329,603.6167974889954,1.0584226414511897,-1.3687289183943538,-0.5390675483533378,1051.4115009174564,1.8701504445000015
"constant,synodic,synodic2,synodic3",4,0.10462158684154699,0.05375562714568649,603.8538497858133,1.0732128654508766,-2.1364680570721823,-0.7710076389084781,1209.860997818631,2.171893993507467
"constant,synodic,synodic2,synodic3,synodic4",5,0.11308190836758025,0.058236711464913826,600.9942079268948,1.081473605063194,-2.3818730035778817,-0.8389869503555161,1256.3009542431143,2.2779431829776393
"constant,synodic,sidereal,synodic2",4,0.10947304181418571,0.0563226408428491,602.2156882834006,1.0620978239960612,-2.11832901559732,-0.7658791056007543,1206.3574486025175,2.149390833622276
"constant,synodic,sidereal,synodic2,sidereal2",5,0.11538510052490825,0.0594603147792796,600.2133551227067,1.067220290685252,-1.5605282349426357,-0.6001650649050665,1093.1501703142035,1.9526768608542362
"constant,synodic,synodic2,sidereal,sidereal2",5,0.115385100376176,0.05946031470021207,600.2133551731644,1.0672202907620616,-1.56052835156268,-0.6001651013450706,1093.1501952081333,1.9526769053284645
