basis,n_bases,random_r2,random_skill,random_rms,random_overfit,temporal_r2,temporal_skill,temporal_rms,temporal_overfit
constant,1,0.09328854291538147,0.0477860234775912,690.7033792157187,1.003321572472606,0.010711791823124428,0.00537031605884819,810.5824336399978,1.2154328129653944
"constant,synodic",2,0.1473489271797188,0.07660892747423576,669.7962326287727,1.0308687082193608,-0.32156025830752655,-0.14959134404688634,936.8698364768834,1.482140708837753
"constant,sidereal",2,0.14063064844648,0.07297823566352013,672.429812017841,1.02758882794569,-0.2655576729029647,-0.12497007644779812,916.8045123346458,1.4512448651079537
"constant,synodic,sidereal",3,0.15274345479751505,0.07953460401681312,667.6740471491703,1.0338292970122418,-0.34337820330528257,-0.15904193336793582,944.5716794993381,1.4991044444285682
"constant,synodic,synodic2",3,0.16229690930469265,0.08473878553971959,663.8991122579065,1.0371014225722526,-0.5118115760783299,-0.22955747164511586,1002.0389535501826,1.6083270842350015
"constant,synodic,synodic2,synodic3",4,0.1684396250902782,0.08810067720733461,661.460511278892,1.0456079975547405,-0.8104421798006007,-0.3455267295006075,1096.5491464165866,1.781049200120207
"constant,synodic,synodic2,synodic3,synodic4",5,0.16983249839957204,0.08886471827701237,660.9063020762363,1.053070958100283,-1.07725812969242,-0.44126962421762705,1174.5756821780626,1.9229830467223814
"constant,synodic,sidereal,synodic2",4,0.16444192310126227,0.08591134078868601,663.0485808723706,1.0394517276373842,-0.6057684434110213,-0.26718919006240793,1032.707261956056,1.6607666622851103
"constant,synodic,sidereal,synodic2,sidereal2",5,0.17024760188503896,0.08909254140996237,660.7410469847633,1.0415294155244446,-0.4955734718854419,-0.22293641367220807,996.643062625547,1.6082978170257185
"constant,synodic,synodic2,sidereal,sidereal2",5,0.1702476020202235,0.08909254148416557,660.7410469309389,1.0415294154344645,-0.4955734678146184,-0.22293641200784364,996.6430612691584,1.6082978148243556
