basis,n_bases,random_r2,random_skill,random_rms,random_overfit,temporal_r2,temporal_skill,temporal_rms,temporal_overfit
constant,1,0.05165279383205257,0.02616879996174515,748.1755081746468,1.0418929396520247,-0.11166557815135669,-0.05435552739640759,879.3776779689204,1.2808730445041452
"constant,synodic",2,0.11958958768574346,0.06169812303595146,720.8790225567068,1.0662807162502916,-0.5972385768488568,-0.2638190443449002,1054.079224427562,1.6130545285183735
"constant,sidereal",2,0.09048748748259527,0.04631634567986609,732.6965419477125,1.0739092808718953,-0.5768771518549958,-0.25573769229684107,1047.339030617965,1.6029309634090114
"constant,synodic,sidereal",3,0.12581860403230183,0.06502331795509553,718.3243401863815,1.0700396369704477,-0.8074428570498124,-0.3444117141150669,1121.2969635698917,1.7237717118095905
"constant,synodic,synodic2",3,0.12812700523777143,0.06625860391528715,717.3752940878677,1.0782525779567973,-0.4772022792040522,-0.21540210597318454,1013.697423665516,1.575437606773808
"constant,synodic,synodic2,synodic3",4,0.13922928476875795,0.07222270170517642,712.7931941360707,1.0889033634254972,-0.9273389466661661,-0.388286334538436,1157.8902765721425,1.821128054037535
"constant,synodic,synodic2,synodic3,synodic4",5,0.14288832883680835,0.07419674273461763,711.2765769335188,1.0983454272487299,-0.8893952444805073,-0.37455274343348033,1146.4358732496949,1.8186803211297171
"constant,synodic,sidereal,synodic2",4,0.13117425849212194,0.0678917758608295,716.1205599509406,1.0811599374448007,-0.6355482442387412,-0.27888554774801544,1066.6453337080427,1.6611784169461123
"constant,synodic,sidereal,synodic2,sidereal2",5,0.14034643238330058,0.07282495308776804,712.3304961508329,1.0852945784557826,-0.48723994727931674,-0.21952447588366053,1017.1356567713403,1.5893674190179807
"constant,synodic,synodic2,sidereal,sidereal2",5,0.14034643327815388,0.0728249535703378,712.330495780084,1.0852945778973062,-0.48723998742188157,-0.21952449234194638,1017.1356704982558,1.5893674404548048
